userId,recommendId
1.0,26181.0
1.0,48856.0
1.0,206805.0
1.0,142424.0
1.0,113089.0
1.0,26349.0
1.0,4337.0
1.0,26198.0
1.0,6401.0
1.0,7490.0
1.0,48744.0
1.0,62764.0
1.0,803.0
1.0,89961.0
1.0,2884.0
1.0,3438.0
1.0,83796.0
1.0,509.0
1.0,3535.0
1.0,2335.0
1.0,6645.0
1.0,1375.0
1.0,30892.0
1.0,8898.0
1.0,5004.0
1.0,8943.0
1.0,5450.0
1.0,3109.0
1.0,1167.0
1.0,106918.0
1.0,69849.0
1.0,147940.0
1.0,159195.0
1.0,6221.0
1.0,8836.0
1.0,4011.0
1.0,6874.0
1.0,172559.0
1.0,105805.0
1.0,193956.0
1.0,140958.0
1.0,2344.0
1.0,4786.0
1.0,25812.0
1.0,31260.0
1.0,139385.0
1.0,3966.0
1.0,40414.0
1.0,3581.0
1.0,27850.0
2.0,3153.0
2.0,3832.0
2.0,7991.0
2.0,164107.0
2.0,6618.0
2.0,72712.0
2.0,64278.0
2.0,83332.0
2.0,184791.0
2.0,164655.0
2.0,144742.0
2.0,188419.0
2.0,6053.0
2.0,109687.0
2.0,113207.0
2.0,27392.0
2.0,82150.0
2.0,94939.0
2.0,7990.0
2.0,27368.0
2.0,65709.0
2.0,205383.0
2.0,74553.0
2.0,1364.0
2.0,3676.0
2.0,4863.0
2.0,190089.0
2.0,4533.0
2.0,27431.0
2.0,8377.0
2.0,5985.0
2.0,52767.0
2.0,31035.0
2.0,5649.0
2.0,143868.0
2.0,188189.0
2.0,551.0
2.0,118880.0
2.0,198185.0
2.0,68835.0
2.0,27640.0
2.0,192383.0
2.0,7115.0
2.0,65261.0
2.0,117.0
2.0,134021.0
2.0,67665.0
2.0,5780.0
2.0,7231.0
2.0,90866.0
3.0,2997.0
3.0,162566.0
3.0,27727.0
3.0,73344.0
3.0,26540.0
3.0,5477.0
3.0,54372.0
3.0,5056.0
3.0,5690.0
3.0,135456.0
3.0,40870.0
3.0,26663.0
3.0,27873.0
3.0,5971.0
3.0,3362.0
3.0,522.0
3.0,347.0
3.0,127.0
3.0,2839.0
3.0,2076.0
3.0,199223.0
3.0,204692.0
3.0,203649.0
3.0,56432.0
3.0,4973.0
3.0,6350.0
3.0,135885.0
3.0,55280.0
3.0,4799.0
3.0,51127.0
3.0,7583.0
3.0,49666.0
3.0,26681.0
3.0,7099.0
3.0,116136.0
3.0,7562.0
3.0,3681.0
3.0,1203.0
3.0,159849.0
3.0,4848.0
3.0,81018.0
3.0,6646.0
3.0,8133.0
3.0,140267.0
3.0,72226.0
3.0,99045.0
3.0,75813.0
3.0,8253.0
3.0,52281.0
3.0,47446.0
4.0,2886.0
4.0,62203.0
4.0,153070.0
4.0,140162.0
4.0,92694.0
4.0,104975.0
4.0,27800.0
4.0,139655.0
4.0,2524.0
4.0,51187.0
4.0,33603.0
4.0,3933.0
4.0,81059.0
4.0,133287.0
4.0,103685.0
4.0,166711.0
4.0,166703.0
4.0,144938.0
4.0,77181.0
4.0,101079.0
4.0,68263.0
4.0,143511.0
4.0,94126.0
4.0,164899.0
4.0,57393.0
4.0,33709.0
4.0,128610.0
4.0,140339.0
4.0,33750.0
4.0,103206.0
4.0,115828.0
4.0,160238.0
4.0,128626.0
4.0,193950.0
4.0,3266.0
4.0,2533.0
4.0,2632.0
4.0,5101.0
4.0,5617.0
4.0,6920.0
4.0,5065.0
4.0,3011.0
4.0,8421.0
4.0,162882.0
4.0,66130.0
4.0,7285.0
4.0,2344.0
4.0,116897.0
4.0,89118.0
4.0,5069.0
5.0,41712.0
5.0,627.0
5.0,67267.0
5.0,1056.0
5.0,1060.0
5.0,3359.0
5.0,3728.0
5.0,93040.0
5.0,3169.0
5.0,6639.0
5.0,2071.0
5.0,3427.0
5.0,2677.0
5.0,1303.0
5.0,2305.0
5.0,373.0
5.0,318.0
5.0,5568.0
5.0,6144.0
5.0,5961.0
5.0,4423.0
5.0,246.0
5.0,2028.0
5.0,1193.0
5.0,5470.0
5.0,1957.0
5.0,61449.0
5.0,7560.0
5.0,388.0
5.0,1458.0
5.0,6061.0
5.0,2199.0
5.0,51372.0
5.0,1218.0
5.0,1090.0
5.0,53468.0
5.0,1657.0
5.0,3881.0
5.0,110.0
5.0,1914.0
5.0,1150.0
5.0,6516.0
5.0,5820.0
5.0,1259.0
5.0,1784.0
5.0,32139.0
5.0,1169.0
5.0,1307.0
5.0,3102.0
5.0,527.0
6.0,1965.0
6.0,3608.0
6.0,532.0
6.0,441.0
6.0,6777.0
6.0,77307.0
